4x4
6 0 0 0 8 0 0 9 0 2 0 5 B 0 A 0
0 0 0 0 0 0 0 4 0 B 0 0 0 0 2 0
9 0 0 C A 0 0 0 0 0 0 0 D 0 0 0
0 0 0 0 0 0 0 0 0 0 7 F 6 1 0 0
0 0 B 3 G 0 0 0 0 0 0 4 0 0 C 0
5 7 F 2 0 0 6 0 0 0 0 1 0 0 0 0
0 0 0 0 0 0 C 0 F G 0 8 3 0 D 0
A 0 0 G 1 0 0 2 D 0 3 7 0 0 5 F
1 0 4 9 F 0 0 A 3 0 0 E 0 0 0 0
0 3 A 0 0 0 0 0 5 0 0 0 2 9 0 7
0 C 0 0 0 E 0 6 0 0 D G 0 0 F 3
0 2 0 0 7 D B 0 4 0 0 0 0 0 E 5
0 0 E 1 C 0 4 0 A 0 0 0 0 B 0 0
0 0 5 0 0 0 0 0 0 0 0 D C F 7 0
B D 2 0 0 0 0 0 0 E 0 0 A 0 6 0
0 0 0 0 0 0 G 7 0 0 4 0 0 0 0 0
